,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
8736,Idealism,0.425,0.21,8,-12.242,0,0.0451,0.776,0.902,0.0992,0.311,158.846,119902,4,24.92728,6,0
1961,Frankie Valli & The Four Seasons,0.481,0.852,10,-8.025,1,0.142,0.647,0.000257,0.283,0.306,98.996,152160,4,80.28512,5,0
4143,Lucas Grabeel & Ashley Tisdale,0.576,0.96,7,-4.456,0,0.0879,0.0934,1.57e-06,0.864,0.796,114.553,149027,4,48.54046,5,1
1060,Vishal-Shekhar,0.746,0.924,8,-6.057,1,0.0442,0.0169,0.00279,0.097,0.807,136.051,306987,4,18.86724,14,0
786,Fleetwood Mac,0.604,0.759,7,-4.896,0,0.0317,0.136,1.38e-05,0.101,0.671,127.208,250760,4,31.85241,11,1
6362,Capstan,0.202,0.946,5,-2.677,1,0.188,0.000236,0.000151,0.0808,0.344,179.739,207107,3,49.13047,9,0
10565,David Nail,0.527,0.723,1,-6.134,1,0.0411,0.217,0.0,0.037,0.888,160.465,236800,4,41.21066,10,1
3843,Choir of the Monks of Chevetogne,0.2,0.0507,10,-19.08,0,0.0363,0.986,0.00144,0.115,0.0416,75.174,243333,1,24.93014,9,0
297,Snoop Dogg Featuring Tyrese & Mr. Tan,0.856,0.717,6,-4.358,0,0.209,0.0464,0.0,0.355,0.738,94.822,238000,4,34.83472,12,1
9311,Brownout,0.482,0.607,11,-7.992,0,0.0391,0.0156,0.181,0.147,0.207,82.857,430580,4,37.29963,18,0
8042,Beach House,0.448,0.733,3,-6.238,1,0.0292,0.0369,0.0425,0.169,0.407,142.008,258653,4,31.50008,10,0
1649,Gary Allan,0.578,0.779,10,-8.908,1,0.0384,0.00479,6.47e-06,0.284,0.695,111.653,220960,4,26.68982,8,1
8990,Lee Morgan,0.42,0.547,3,-11.057,0,0.0346,0.485,0.0,0.0881,0.292,133.907,486093,4,40.07568,20,0
2122,Illogicist,0.385,0.865,2,-5.301,1,0.124,0.000146,0.671,0.101,0.28,92.842,285853,4,38.24089,10,0
3020,Super Time Pilot,0.607,0.238,8,-11.496,1,0.0348,0.489,0.0,0.0861,0.462,93.305,118400,4,33.58804,7,0
2753,Buddy Jewell,0.495,0.612,2,-6.57,1,0.0303,0.41,0.0,0.0974,0.366,148.083,212907,4,40.72783,10,1
177,The Pussycat Dolls Featuring Nicole Scherzinger,0.613,0.778,10,-3.933,0,0.0689,0.0985,0.0,0.356,0.626,129.483,252093,4,91.30839,8,1
8516,Kraak & Smaak,0.826,0.804,10,-8.316,0,0.0616,0.253,0.607,0.0856,0.866,116.02,415547,4,34.07438,11,0
2796,Choir of the Monks of Chevetogne,0.196,0.0763,8,-23.764,0,0.0346,0.957,0.391,0.114,0.0368,137.916,138400,3,58.88604,7,0
2869,Kunnakudi Vaidyanathan,0.481,0.49,11,-12.531,1,0.0793,0.963,0.0953,0.358,0.473,95.668,598493,4,19.28592,23,0
4016,Rascal Flatts,0.431,0.584,2,-6.025,1,0.0336,0.42,0.0,0.142,0.181,146.176,243787,4,44.01715,10,1
8100,Forever The Sickest Kids,0.604,0.848,9,-5.446,1,0.0714,0.000743,0.000306,0.456,0.593,137.976,297293,4,31.40496,14,0
6304,Rich The Kid,0.942,0.382,10,-8.099,1,0.564,0.00192,0.0,0.092,0.379,100.017,177864,4,34.99647,10,1
4569,Nickelback,0.536,0.89,0,-5.222,1,0.0601,0.000354,0.00165,0.133,0.205,115.998,252653,4,39.18066,7,1
9988,Michel LeBond,0.132,0.0324,8,-23.953,1,0.0352,0.961,0.963,0.103,0.0918,99.138,218175,4,39.35941,12,0
5996,Blake Shelton,0.552,0.893,0,-4.593,1,0.0383,0.0158,0.0,0.105,0.777,163.948,189467,4,35.70753,10,1
8969,Krewella,0.663,0.822,9,-2.909,1,0.0557,0.00413,0.00318,0.234,0.567,128.002,290760,4,30.99379,12,1
3923,Benzino,0.843,0.871,10,-5.796,0,0.142,0.29,0.0,0.0934,0.723,101.03,227933,4,36.2145,11,1
8406,Trey Songz,0.663,0.693,7,-5.776,0,0.0635,0.0379,0.0,0.162,0.391,120.026,186307,4,64.13928,8,1
8603,Rihanna,0.619,0.806,3,-4.8,0,0.0483,0.272,0.0,0.0671,0.877,95.0,253080,4,48.96937,13,1
1525,Paul Wall,0.693,0.729,4,-8.281,0,0.0347,0.000107,1.9e-05,0.119,0.614,83.989,278453,4,30.39475,11,1
8541,David Rovics,0.693,0.526,2,-11.402,1,0.0578,0.73,0.000607,0.0989,0.732,106.701,136742,4,25.96204,7,0
8078,Blue Daisy,0.561,0.87,0,-8.791,1,0.316,0.0341,0.959,0.102,0.635,172.943,179765,4,23.08318,8,0
8398,Javier Colon,0.507,0.654,10,-6.327,1,0.0467,0.211,4.25e-06,0.163,0.197,179.955,196320,4,49.69511,9,1
7134,Def Cut,0.693,0.723,2,-7.513,1,0.164,8.49e-05,0.773,0.121,0.402,184.003,196282,4,66.98812,8,0
8132,Eli Young Band,0.366,0.651,4,-3.842,1,0.031,0.000415,0.00526,0.271,0.257,151.343,200707,3,23.07263,9,1
6621,Astronoid,0.316,0.977,3,-6.833,1,0.107,1.4e-05,0.905,0.173,0.116,160.032,321373,4,36.37115,11,0
425,Eminem,0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,250760,4,23.25917,13,1
11240,"benny blanco, Tainy, Selena Gomez & J Balvin",0.541,0.468,10,-4.039,0,0.362,0.404,3.65e-06,0.358,0.69,95.266,158027,4,17.66497,8,1
